title,duration,day_week_n,week,module,is_pro,is_ignored
Opening,20,1,1,Introduction,,FALSE
Welcome & Expectations,45,1,1,Introduction,,FALSE
Break,15,1,1,Introduction,,TRUE
Program Overview and Introductions,60,1,1,Introduction,,FALSE
Curriculum Overview,30,1,1,Introduction,,FALSE
Lunch,45,1,1,Introduction,,TRUE
Vendor Introduction,45,1,1,Introduction,,FALSE
Break,15,1,1,Introduction,,TRUE
Self-Assessment: Who Am I?,45,1,1,Introduction,Professional Skills,FALSE
Activity: Introduction to Amazon Leadership Principles,30,1,1,Introduction,Professional Skills,FALSE
Introduce Exit Ticket Activity,15,1,1,Introduction,,FALSE
Exit Ticket,20,1,1,Introduction,,TRUE
Flex Time,65,1,1,Introduction,,TRUE
Recap,20,2,1,Introduction,,TRUE
Activity: Think Big,120,2,1,Introduction,Professional Skills,FALSE
Break,15,2,1,Introduction,,TRUE
Introduction to Computing and Knowledge Check,50,2,1,Cloud Foundations,,FALSE
Lunch,45,2,1,Cloud Foundations,,TRUE
Basic Computing Concepts and Knowledge Check,55,2,1,Cloud Foundations,,FALSE
Break,15,2,1,Cloud Foundations,,TRUE
Development Team Roles and Knowledge Check,40,2,1,Cloud Foundations,,FALSE
What is Cloud Computing and Knowledge Check,45,2,1,Cloud Foundations,,FALSE
Exit Ticket,20,2,1,Cloud Foundations,,TRUE
Flex Time,25,2,1,Cloud Foundations,,TRUE
Recap,20,3,1,Cloud Foundations,,TRUE
Activity: Cloud Roles,90,,1,Cloud Foundations,,FALSE
Break,15,,1,Cloud Foundations,,TRUE
Activity: Setting Goals,105,,1,Cloud Foundations,,FALSE
Lunch,45,,1,Cloud Foundations,,TRUE
Activity: Career Goals,45,,1,Cloud Foundations,,FALSE
Break,15,,1,Cloud Foundations,,TRUE
Advantages of Cloud Computing and Knowledge Check,95,,1,Cloud Foundations,,FALSE
Exit Ticket,20,,1,Cloud Foundations,,TRUE
Recap,20,,1,Cloud Foundations,,TRUE
Communication and STAR methodology,135,,1,Cloud Foundations,,FALSE
Break,15,,1,Cloud Foundations,,TRUE
What is Amazon Web Services (AWS) and Knowledge Check,55,,1,Cloud Foundations,,FALSE
Lunch,45,,1,Cloud Foundations,,TRUE
Introduction to AWS Training and Certification,45,,1,Cloud Foundations,,FALSE
Break,15,,1,Cloud Foundations,,TRUE
Fundamentals of AWS Pricing and Knowledge Check,45,,1,Cloud Foundations,,FALSE
AWS Infrastructure Overview and Knowledge Check,45,,1,Cloud Foundations,,FALSE
Exit Ticket,20,,1,Cloud Foundations,,TRUE
Flex Time,10,4,1,Cloud Foundations,,TRUE
Recap,20,5,1,Cloud Foundations,,TRUE
AWS Services and Service Category Overview and Knowledge Check,50,5,1,Cloud Foundations,,FALSE
AWS Shared Responsibility Model and Knowledge Check,35,5,1,Cloud Foundations,,FALSE
Break,15,5,1,Cloud Foundations,,TRUE
Amazon Simple Storage Service (S3),20,5,1,Cloud Foundations,,FALSE
Amazon S3 Demo and Knowledge Check,40,5,1,Cloud Foundations,,FALSE
Lunch,45,5,1,Cloud Foundations,,TRUE
Amazon Elastic Compute Cloud (EC2) and Demo,60,5,1,Cloud Foundations,,FALSE
Lab: Introduction to Amazon EC2 and Knowledge Check,60,5,1,Cloud Foundations,,FALSE
Break,15,5,1,Cloud Foundations,,TRUE
Recap and Quiz: Cloud Foundations,45,5,1,Cloud Foundations,,FALSE
Review Cloud Foundations,25,5,1,Cloud Foundations,,FALSE
Exit Ticket,20,5,1,Cloud Foundations,,TRUE
Recap,15,1,2,Linux,,TRUE
Introduction to Linux,50,,2,Linux,,FALSE
"Lab : Introduction to Linux and
Knowledge Check",45,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
Linux Command Line,75,,2,Linux,,FALSE
Lunch,45,,2,Linux,,TRUE
"Lab : Linux Command Line and
Knowledge Check",45,,2,Linux,,FALSE
Users and Groups,65,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
"Lab : Users and Groups and
Knowledge Check",60,,2,Linux,,FALSE
Exit Ticket,20,,2,Linux,,TRUE
Recap,20,,2,Linux,,TRUE
Editing Files,65,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
Lab : Editing Files and Knowledge Check,75,,2,Linux,,FALSE
Working with the File System,65,,2,Linux,,FALSE
Lunch,45,,2,Linux,,TRUE
"Lab : Working with the File System and
Knowledge Check",45,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
Working with Files,65,,2,Linux,,FALSE
Exit Ticket,20,,2,Linux,,TRUE
Flex Time,20,,2,Linux,,TRUE
Recap,20,,2,Linux,,TRUE
"Lab : Working with Files and
Knowledge Check",45,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
Managing File Permissions,60,,2,Linux,,FALSE
"Lab : Managing File Permissions and
Knowledge Check",50,,2,Linux,,FALSE
Lunch,45,,2,Linux,,TRUE
Working with Commands,90,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
"Lab : Working with Commands and
Knowledge Check",45,,2,Linux,,FALSE
Flex Time,45,,2,Linux,,TRUE
Exit Ticket,20,,2,Linux,,TRUE
Recap,20,,2,Linux,,TRUE
Managing Processes,65,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
"Lab : Managing Processes and
Knowledge Check",60,,2,Linux,,FALSE
Managing Services,65,,2,Linux,,FALSE
Lunch,45,,2,Linux,,TRUE
"Lab : Managing Services and
Knowledge Check",45,,2,Linux,,FALSE
Break,15,,2,Linux,,TRUE
The Bash Shell,75,,2,Linux,,FALSE
Exit Ticket,20,,2,Linux,,TRUE
Flex Time,25,,2,Linux,,TRUE
Recap,20,4,2,Linux,,TRUE
"Lab : Bash Shell and Knowledge
Check",45,5,2,Linux,,FALSE
Break,15,5,2,Linux,,TRUE
Bash Shell Scripting,110,5,2,Linux,,FALSE
Lunch,45,5,2,Linux,,TRUE
"Lab : Bash Shell Scripting and
Knowledge check",40,5,2,Linux,,FALSE
Break,15,5,2,Linux,,TRUE
Activity : Customer Obsession,50,5,2,Linux,,FALSE
Exit Ticket,20,5,2,Linux,,TRUE
Flex Time,90,5,2,Linux,,TRUE
Recap,20,1,3,Linux,,TRUE
Software Management,40,1,3,Linux,,FALSE
Break,15,1,3,Linux,,TRUE
"Lab : Software Management and
Knowledge Check",40,1,3,Linux,,FALSE
Managing Log Files,70,1,3,Linux,,FALSE
Lunch,45,1,3,Linux,,TRUE
"Lab : Managing Log Files and
Knowledge Check",25,1,3,Linux,,FALSE
Break,15,1,3,Linux,,TRUE
"Challenge Lab : Advanced Bash Shell
Scripting on EC2",55,1,3,Linux,,FALSE
Review Linux,30,1,3,Linux,,FALSE
Exit Ticket,20,1,3,Linux,,TRUE
Flex Time,75,1,3,Linux,,TRUE
Recap,20,2,3,Networking,,TRUE
Professional Outlook,135,,3,Networking,Professional Skills,FALSE
Break,15,,3,Networking,,TRUE
"Introduction to Networking and
Knowledge Check",50,,3,Networking,,FALSE
Lunch,45,,3,Networking,,TRUE
"Networking Concepts and Knowledge
Check",65,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Internet Protocol,45,,3,Networking,,FALSE
"Internet Protocol ( IP ) Demo and
Knowledge Check",35,,3,Networking,,FALSE
Exit Ticket,20,,3,Networking,,TRUE
Flex Time,5,,3,Networking,,TRUE
Recap,20,,3,Networking,,TRUE
Networking in the AWS Cloud,55,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Lab : Public and Private IPs,60,,3,Networking,,FALSE
Lab : Dynamic and Static IPs,60,,3,Networking,,FALSE
Lunch,45,,3,Networking,,TRUE
AWS VPC Demonstration,45,,3,Networking,,FALSE
Amazon VPC Knowledge Check,15,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Lab : Create subnets in a VPC,60,,3,Networking,,FALSE
Exit Ticket,20,,3,Networking,,TRUE
Flex Time,40,,3,Networking,,TRUE
Recap,20,,3,Networking,,TRUE
Lab : Networking resources for a VPC,60,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Emotional Intelligence,90,,3,Networking,,FALSE
Lunch,45,,3,Networking,,TRUE
IP Subnetting and Knowledge Check,85,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Alumni presentation with Students,90,,3,Networking,,FALSE
Exit Ticket,20,,3,Networking,,TRUE
Flex Time,10,,3,Networking,,TRUE
Recap,20,,3,Networking,,TRUE
Activity : Learn and Be Curious,50,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
Lab : Troubleshooting Commands,60,,3,Networking,,FALSE
Lab : Troubleshooting Network Issue,60,,3,Networking,,FALSE
Lunch,45,,3,Networking,,TRUE
Additional Networking Protocols,75,,3,Networking,,FALSE
Break,15,,3,Networking,,TRUE
"Additional Networking Protocols
Activities and Knowledge Check",35,,3,Networking,,FALSE
Exit Ticket,20,,3,Networking,,TRUE
Flex Time,55,,3,Networking,,TRUE
Recap,10,1,4,Networking,,TRUE
"Lab : Build your VPC and launch a
web server",60,1,4,Networking,,FALSE
Break,15,1,4,Networking,,TRUE
"Additional Networking Technologies
and Knowledge Check",40,1,4,Networking,,FALSE
Review Networking,20,1,4,Networking,,FALSE
Lunch,45,1,4,Networking,,TRUE
Digital Presence,95,1,4,Security,Professional Skills,FALSE
Interview settings ( lecture ),35,1,4,Security,Professional Skills,FALSE
Break,15,1,4,Security,,TRUE
Interview process ( lecture ),50,1,4,Security,Professional Skills,FALSE
Interview Practice,45,1,4,Security,Professional Skills,FALSE
Exit Ticket,20,1,4,Security,,TRUE
Recap,20,,4,Security,,TRUE
Introduction to Security,65,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
"Introduction to Security Knowledge
Check",15,,4,Security,,FALSE
Security Life Cycle : Prevention,65,,4,Security,,FALSE
"Security Life Cycle - Prevention
Knowledge Check",15,,4,Security,,FALSE
Lunch,45,,4,Security,,TRUE
Prevention : Network Hardening,75,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
"Lab : Networking Hardening and
Knowledge Check",60,,4,Security,,FALSE
Prevention : System Hardening,40,,4,Security,,FALSE
Exit Ticket,20,,4,Security,,TRUE
Recap,20,,4,Security,,TRUE
"Lab : Systems Hardening and
Knowledge Check",75,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
Prevention : Data Security,35,,4,Security,,FALSE
"Lab : Data Protection Using Encryption
and Knowledge Check",60,,4,Security,,FALSE
Lunch,45,,4,Security,,TRUE
"Prevention : Public Key Infrastructure
and Demo",35,,4,Security,,FALSE
"Demo : Amazon Certificate Manager
and Knowledge Check",25,,4,Security,,FALSE
Prevention : Identity Management,65,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
"Prevention : Identity Management
Knowledge Check",15,,4,Security,,FALSE
Exit Ticket,20,,4,Security,,TRUE
Flex Time,25,,4,Security,,TRUE
Recap,20,,4,Security,,TRUE
"AWS Identity and Access
Management ( IAM )",30,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
"Lab : Introduction to IAM and
Knowledge Check",60,,4,Security,,FALSE
Detection,40,,4,Security,,FALSE
Lunch,45,,4,Security,,TRUE
"Lab : Malware Protection and
Knowledge Check",60,,4,Security,,FALSE
"AWS CloudTrail and Knowledge
Check",35,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
AWS Config and Knowledge Check,50,,4,Security,,FALSE
Exit Ticket,20,,4,Security,,TRUE
Flex Time,60,,4,Security,,TRUE
Recap,20,,4,Security,,TRUE
Response,45,,4,Security,,FALSE
Break,15,,4,Security,,TRUE
"Activity : Incident Response and
Knowledge Check",45,,4,Security,,FALSE
